country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Channel Islands,Europe,18656,104,16258,2294,0,105919,590,1079242,6127357,176135
Chile,South America,1768584,38439,1661024,69121,692,91405,1987,25803364,1333589,19348816
China Hong Kong Sar,Asia,12449,213,12145,91,0,1642,28,28195188,3718109,7583206
China Macao Sar,Asia,77,0,77,0,0,116,0,5019,7583,661877
China,Asia,98993,4636,93385,972,10,69,3,160000000,111163,1439323776
Colombia,South America,5074079,128643,4913921,31515,342,98237,2491,28207446,546110,51651557
Comoros,Africa,4527,150,4307,70,0,5053,167,0,0,895824
Congo,Africa,18970,354,12421,6195,0,3322,62,188207,32959,5710280
Costa Rica,North America,567263,7309,550529,9425,77,109933,1416,2715029,526163,5160057
Cote D Ivoire,Africa,61775,705,60816,254,0,2263,26,1156622,42363,27302562
Croatia,Europe,623776,11096,581031,31649,313,153287,2727,3489551,857522,4069345
Cuba,North America,962892,8306,953882,704,22,85085,734,11160862,986220,11316809
Curacao,North America,17455,179,17186,90,3,105759,1085,337789,2046648,165045
Cyprus,Asia,135503,598,124370,10535,51,111084,490,9477138,7769292,1219820
Czech Republic,Europe,2211972,33450,1873194,305328,1056,206011,3115,44071446,4104572,10737159
Democratic Republic Of The Congo,Africa,58319,1107,50930,6282,0,624,12,306299,3279,93411639
Denmark,Europe,501760,2927,403118,95715,57,86196,503,94987887,16317777,5821129
Djibouti,Africa,13505,187,13294,24,0,13393,185,247463,245413,1008355
Dominica,North America,6120,39,5712,369,0,84718,540,110689,1532240,72240
Dominican Republic,North America,407918,4212,401475,2231,165,37076,383,2473093,224784,11002099
Ecuador,South America,526870,33250,443880,49740,759,29234,1845,2013368,111714,18022579
Egypt,Africa,360435,20594,298865,40976,90,3431,196,3693367,35152,105067498
El Salvador,North America,119803,3779,102982,13042,336,18339,578,1440742,220546,6532613
Equatorial Guinea,Africa,13599,175,13346,78,1,9263,119,242340,165066,1468144
Eritrea,Africa,7442,61,7190,191,0,2058,17,23693,6552,3615964
Estonia,Europe,224195,1810,206452,15933,34,168847,1363,2351838,1771229,1327800
Ethiopia,Africa,371803,6784,349306,15713,212,3125,57,3883635,32637,118993061
Faeroe Islands,Europe,3750,13,3234,503,7,76334,265,569000,11582461,49126
Falkland Islands Malvinas,South America,83,0,0,0,0,22909,0,8316,2295335,3623
Fiji,Australia/Oceania,52543,697,51116,730,0,58017,770,461940,510062,905655
Finland,Europe,191226,1360,46000,143866,51,34437,245,8009940,1442471,5552928
France,Europe,7773530,119330,7141173,513027,1934,118719,1822,162981031,2489082,65478363
French Guiana,South America,46094,328,11254,34512,7,148866,1059,453563,1464831,309635
